command,mean,stddev,median,user,system,min,max
./target/release/oxiflex problems/queens/008.fzn -n,0.0018274129465388738,0.0006484312240226164,0.0015997402000000002,0.0015631490095846627,0.0003076528221512247,0.0011361762000000005,0.0053655302
./target/release/oxiflex problems/queens/008.fzn,0.07871874892727271,0.061833522010638284,0.054281702200000004,0.07799586181818183,0.0006713887272727272,0.0170608292,0.23821098420000003
