command,mean,stddev,median,user,system,min,max
./target/release/oxiflex problems/queens/008.fzn -n,0.0017332524567195754,0.0006136715864562415,0.00153454288,0.0015080636155202834,0.0002751312522045854,0.0010702618799999998,0.0049811928800000006
./target/release/oxiflex problems/queens/008.fzn,0.0848108438030769,0.09890699273944861,0.05088144888,0.08412290153846154,0.0006627484615384615,0.01702611588,0.48556925288
